,symbol,metric,value
1771,CAG,EPS (TTM),1.99 
1772,CAG,Earnings Date,"Jul 11, 2024 - Jul 15, 2024"
1773,CAG,Forward Dividend & Yield,1.40 (4.78%)
1774,CAG,Ex-Dividend Date,"Apr 29, 2024"
1775,CAG,1y Target Est,31.63 
1776,COP,Previous Close,113.30 
1777,COP,Open,113.19 
1778,COP,Bid,113.00 x 900
1779,COP,Ask,113.05 x 900
1780,COP,Day's Range,112.65 - 113.59 
1781,COP,52 Week Range,99.35 - 135.18 
1782,COP,Volume,"1,322,818 "
1783,COP,Avg. Volume,"5,361,877 "
1784,COP,Market Cap (intraday),131.462B 
1785,COP,Beta (5Y Monthly),1.24
1786,COP,PE Ratio (TTM),12.79 
1787,COP,EPS (TTM),8.83 
1788,COP,Earnings Date,"Aug 1, 2024 - Aug 5, 2024"
1789,COP,Forward Dividend & Yield,3.25 (2.87%)
1790,COP,Ex-Dividend Date,"May 10, 2024"
1791,COP,1y Target Est,143.43 
1792,ED,Previous Close,92.32 
1793,ED,Open,91.68 
1794,ED,Bid,92.10 x 900
1795,ED,Ask,92.13 x 800
1796,ED,Day's Range,91.11 - 92.15 
1797,ED,52 Week Range,80.46 - 98.85 
1798,ED,Volume,"247,753 "
1799,ED,Avg. Volume,"2,086,423 "
1800,ED,Market Cap (intraday),31.798B 
1801,ED,Beta (5Y Monthly),0.34
1802,ED,PE Ratio (TTM),17.55 
1803,ED,EPS (TTM),5.24 
1804,ED,Earnings Date,"Aug 1, 2024 - Aug 5, 2024"
1805,ED,Forward Dividend & Yield,3.32 (3.60%)
1806,ED,Ex-Dividend Date,"May 14, 2024"
1807,ED,1y Target Est,91.64 
1808,STZ,Previous Close,251.68 
1809,STZ,Open,250.58 
1810,STZ,Bid,250.27 x 900
1811,STZ,Ask,250.45 x 800
1812,STZ,Day's Range,247.26 - 250.74 
1813,STZ,52 Week Range,227.50 - 274.87 
1814,STZ,Volume,"280,736 "
1815,STZ,Avg. Volume,"1,175,185 "
1816,STZ,Market Cap (intraday),45.728B 
1817,STZ,Beta (5Y Monthly),0.88
1818,STZ,PE Ratio (TTM),26.61 
1819,STZ,EPS (TTM),9.39 
1820,STZ,Earnings Date,"Jul 3, 2024"
1821,STZ,Forward Dividend & Yield,4.04 (1.61%)
1822,STZ,Ex-Dividend Date,"May 2, 2024"
1823,STZ,1y Target Est,301.15 
1824,CEG,Previous Close,214.63 
1825,CEG,Open,211.58 
1826,CEG,Bid,198.80 x 200
1827,CEG,Ask,218.26 x 200
1828,CEG,Day's Range,210.45 - 218.29 
1829,CEG,52 Week Range,87.86 - 236.30 
1830,CEG,Volume,"1,152,089 "
1831,CEG,Avg. Volume,"2,907,706 "
1832,CEG,Market Cap (intraday),68.721B 
1833,CEG,Beta (5Y Monthly),0.79
1834,CEG,PE Ratio (TTM),29.11 
1835,CEG,EPS (TTM),7.49 
1836,CEG,Earnings Date,"Aug 3, 2024 - Aug 8, 2024"
1837,CEG,Forward Dividend & Yield,1.41 (0.66%)
1838,CEG,Ex-Dividend Date,"May 29, 2024"
1839,CEG,1y Target Est,233.12 
1840,COO,Previous Close,95.08 
1841,COO,Open,94.53 
1842,COO,Bid,86.79 x 200
1843,COO,Ask,102.24 x 200
1844,COO,Day's Range,93.42 - 94.62 
1845,COO,52 Week Range,75.93 - 104.07 
1846,COO,Volume,"138,160 "
1847,COO,Avg. Volume,"1,068,155 "
1848,COO,Market Cap (intraday),18.618B 
1849,COO,Beta (5Y Monthly),1.02
1850,COO,PE Ratio (TTM),55.33 
1851,COO,EPS (TTM),1.69 
1852,COO,Earnings Date,"Aug 28, 2024 - Sep 2, 2024"
1853,COO,Forward Dividend & Yield,0.02 (0.02%)
1854,COO,Ex-Dividend Date,"Jul 26, 2023"
1855,COO,1y Target Est,108.29 
1856,CPRT,Previous Close,53.59 
1857,CPRT,Open,53.37 
1858,CPRT,Bid,53.38 x 300
1859,CPRT,Ask,53.44 x 800
1860,CPRT,Day's Range,52.76 - 53.47 
1861,CPRT,52 Week Range,42.41 - 58.58 
1862,CPRT,Volume,"554,618 "
1863,CPRT,Avg. Volume,"4,290,466 "
1864,CPRT,Market Cap (intraday),51.392B 
1865,CPRT,Beta (5Y Monthly),1.26
1866,CPRT,PE Ratio (TTM),37.35 
1867,CPRT,EPS (TTM),1.43 
1868,CPRT,Earnings Date,"May 16, 2024"
1869,CPRT,Forward Dividend & Yield,--
1870,CPRT,Ex-Dividend Date,--
1871,CPRT,1y Target Est,59.50 
1872,GLW,Previous Close,36.86 
1873,GLW,Open,36.66 
1874,GLW,Bid,37.02 x 1000
1875,GLW,Ask,37.05 x 1400
1876,GLW,Day's Range,36.61 - 37.13 
1877,GLW,52 Week Range,25.26 - 37.52 
1878,GLW,Volume,"588,788 "
1879,GLW,Avg. Volume,"4,826,222 "
1880,GLW,Market Cap (intraday),31.806B 
1881,GLW,Beta (5Y Monthly),1.08
1882,GLW,PE Ratio (TTM),51.57 
1883,GLW,EPS (TTM),0.72 
1884,GLW,Earnings Date,"Jul 23, 2024 - Jul 29, 2024"
1885,GLW,Forward Dividend & Yield,1.12 (3.04%)
1886,GLW,Ex-Dividend Date,"May 31, 2024"
1887,GLW,1y Target Est,35.92 
1888,CPAY,Previous Close,257.92 
1889,CPAY,Open,258.60 
1890,CPAY,Bid,253.05 x 800
1891,CPAY,Ask,--
1892,CPAY,Day's Range,255.11 - 260.00 
1893,CPAY,52 Week Range,220.39 - 319.94 
1894,CPAY,Volume,"385,097 "
1895,CPAY,Avg. Volume,"475,576 "
1896,CPAY,Market Cap (intraday),18.159B 
1897,CPAY,Beta (5Y Monthly),1.22
1898,CPAY,PE Ratio (TTM),-- 
1899,CPAY,EPS (TTM),-- 
1900,CPAY,Earnings Date,"Aug 6, 2024 - Aug 12, 2024"
1901,CPAY,Forward Dividend & Yield,--
1902,CPAY,Ex-Dividend Date,--
1903,CPAY,1y Target Est,326.60 
1904,CTVA,Previous Close,52.90 
1905,CTVA,Open,52.66 
1906,CTVA,Bid,--
1907,CTVA,Ask,--
1908,CTVA,Day's Range,51.65 - 52.67 
1909,CTVA,52 Week Range,43.22 - 58.81 
1910,CTVA,Volume,"5,315,422 "
1911,CTVA,Avg. Volume,"3,242,834 "
1912,CTVA,Market Cap (intraday),36.041B 
1913,CTVA,Beta (5Y Monthly),0.78
1914,CTVA,PE Ratio (TTM),52.23 
1915,CTVA,EPS (TTM),0.99 
1916,CTVA,Earnings Date,"Aug 1, 2024 - Aug 5, 2024"
1917,CTVA,Forward Dividend & Yield,0.64 (1.24%)
1918,CTVA,Ex-Dividend Date,"Jun 4, 2024"
1919,CTVA,1y Target Est,63.65 
1920,CSGP,Previous Close,76.43 
1921,CSGP,Open,76.09 
1922,CSGP,Bid,76.02 x 700
1923,CSGP,Ask,76.21 x 700
1924,CSGP,Day's Range,75.05 - 76.64 
1925,CSGP,52 Week Range,67.35 - 100.38 
1926,CSGP,Volume,"642,510 "
1927,CSGP,Avg. Volume,"2,158,436 "
1928,CSGP,Market Cap (intraday),31.09B 
1929,CSGP,Beta (5Y Monthly),0.84
1930,CSGP,PE Ratio (TTM),105.71 
1931,CSGP,EPS (TTM),0.72 
1932,CSGP,Earnings Date,"Jul 23, 2024 - Jul 29, 2024"
1933,CSGP,Forward Dividend & Yield,--
1934,CSGP,Ex-Dividend Date,--
1935,CSGP,1y Target Est,104.17 
1936,COST,Previous Close,848.34 
1937,COST,Open,849.24 
1938,COST,Bid,847.59 x 100
1939,COST,Ask,848.75 x 100
1940,COST,Day's Range,840.26 - 850.93 
1941,COST,52 Week Range,516.54 - 850.93 
1942,COST,Volume,"365,739 "
1943,COST,Avg. Volume,"1,812,042 "
1944,COST,Market Cap (intraday),376.012B 
1945,COST,Beta (5Y Monthly),0.78
1946,COST,PE Ratio (TTM),52.61 
1947,COST,EPS (TTM),16.12 
1948,COST,Earnings Date,"May 30, 2024"
1949,COST,Forward Dividend & Yield,4.64 (0.55%)
1950,COST,Ex-Dividend Date,"Apr 25, 2024"
1951,COST,1y Target Est,838.99 
1952,CTRA,Previous Close,27.66 
1953,CTRA,Open,27.68 
1954,CTRA,Bid,27.54 x 2200
1955,CTRA,Ask,27.60 x 2900
1956,CTRA,Day's Range,27.40 - 27.76 
1957,CTRA,52 Week Range,23.61 - 29.89 
1958,CTRA,Volume,"4,743,879 "
1959,CTRA,Avg. Volume,"6,240,057 "
1960,CTRA,Market Cap (intraday),20.526B 
1961,CTRA,Beta (5Y Monthly),0.20
1962,CTRA,PE Ratio (TTM),16.03 
1963,CTRA,EPS (TTM),1.72 
1964,CTRA,Earnings Date,"Aug 5, 2024 - Aug 9, 2024"
1965,CTRA,Forward Dividend & Yield,0.84 (3.05%)
1966,CTRA,Ex-Dividend Date,"May 15, 2024"
1967,CTRA,1y Target Est,33.60 
1968,CRWD,Previous Close,374.57 
1969,CRWD,Open,371.74 
1970,CRWD,Bid,378.20 x 100
1971,CRWD,Ask,379.09 x 100
1972,CRWD,Day's Range,370.14 - 379.89 
1973,CRWD,52 Week Range,139.37 - 384.98 
1974,CRWD,Volume,"3,339,851 "
1975,CRWD,Avg. Volume,"3,198,271 "
1976,CRWD,Market Cap (intraday),92.122B 
1977,CRWD,Beta (5Y Monthly),1.07
1978,CRWD,PE Ratio (TTM),727.79 
1979,CRWD,EPS (TTM),0.52 
1980,CRWD,Earnings Date,"Aug 28, 2024 - Sep 2, 2024"
1981,CRWD,Forward Dividend & Yield,--
1982,CRWD,Ex-Dividend Date,--
1983,CRWD,1y Target Est,398.68 
1984,CCI,Previous Close,100.62 
1985,CCI,Open,100.21 
1986,CCI,Bid,100.06 x 800
1987,CCI,Ask,101.34 x 1100
1988,CCI,Day's Range,99.51 - 100.57 
1989,CCI,52 Week Range,84.72 - 119.50 
1990,CCI,Volume,"2,136,973 "
1991,CCI,Avg. Volume,"2,803,774 "
1992,CCI,Market Cap (intraday),43.387B 
1993,CCI,Beta (5Y Monthly),0.83
1994,CCI,PE Ratio (TTM),31.20 
1995,CCI,EPS (TTM),3.20 
1996,CCI,Earnings Date,"Jul 17, 2024 - Jul 22, 2024"
1997,CCI,Forward Dividend & Yield,6.26 (6.22%)
1998,CCI,Ex-Dividend Date,"Jun 14, 2024"
1999,CCI,1y Target Est,110.87 
2000,CSX,Previous Close,32.75 
2001,CSX,Open,32.67 
2002,CSX,Bid,32.80 x 200
2003,CSX,Ask,32.87 x 2600
2004,CSX,Day's Range,32.46 - 32.88 
2005,CSX,52 Week Range,29.03 - 40.12 
2006,CSX,Volume,"5,243,101 "
2007,CSX,Avg. Volume,"12,201,558 "
2008,CSX,Market Cap (intraday),64.131B 
2009,CSX,Beta (5Y Monthly),1.19
2010,CSX,PE Ratio (TTM),17.93 
2011,CSX,EPS (TTM),1.83 
2012,CSX,Earnings Date,"Jul 18, 2024 - Jul 22, 2024"
2013,CSX,Forward Dividend & Yield,0.48 (1.47%)
2014,CSX,Ex-Dividend Date,"May 31, 2024"
2015,CSX,1y Target Est,39.33 
2016,CMI,Previous Close,273.17 
2017,CMI,Open,272.18 
2018,CMI,Bid,271.41 x 1000
2019,CMI,Ask,271.96 x 800
2020,CMI,Day's Range,269.58 - 273.16 
2021,CMI,52 Week Range,212.80 - 304.25 
2022,CMI,Volume,"83,075 "
2023,CMI,Avg. Volume,"2,020,388 "
2024,CMI,Market Cap (intraday),37.125B 
2025,CMI,Beta (5Y Monthly),1.02
2026,CMI,PE Ratio (TTM),19.91 
2027,CMI,EPS (TTM),13.63 
2028,CMI,Earnings Date,"Aug 1, 2024 - Aug 5, 2024"
2029,CMI,Forward Dividend & Yield,6.72 (2.46%)
2030,CMI,Ex-Dividend Date,"May 23, 2024"
2031,CMI,1y Target Est,303.59 
2032,CVS,Previous Close,60.28 
2033,CVS,Open,60.08 
2034,CVS,Bid,59.86 x 800
2035,CVS,Ask,59.88 x 1000
2036,CVS,Day's Range,59.65 - 60.10 
2037,CVS,52 Week Range,52.77 - 83.25 
2038,CVS,Volume,"2,020,142 "
2039,CVS,Avg. Volume,"12,338,195 "
2040,CVS,Market Cap (intraday),74.996B 
2041,CVS,Beta (5Y Monthly),0.52
2042,CVS,PE Ratio (TTM),10.48 
2043,CVS,EPS (TTM),5.70 
2044,CVS,Earnings Date,"Jul 31, 2024 - Aug 5, 2024"
2045,CVS,Forward Dividend & Yield,2.66 (4.41%)
2046,CVS,Ex-Dividend Date,"Apr 19, 2024"
2047,CVS,1y Target Est,67.02 
2048,DHR,Previous Close,263.08 
2049,DHR,Open,262.38 
2050,DHR,Bid,265.20 x 800
2051,DHR,Ask,265.22 x 1200
2052,DHR,Day's Range,261.88 - 265.63 
2053,DHR,52 Week Range,182.09 - 269.11 
2054,DHR,Volume,"2,537,026 "
2055,DHR,Avg. Volume,"2,702,957 "
2056,DHR,Market Cap (intraday),196.045B 
2057,DHR,Beta (5Y Monthly),0.88
2058,DHR,PE Ratio (TTM),48.57 
2059,DHR,EPS (TTM),5.45 
2060,DHR,Earnings Date,"Jul 23, 2024 - Jul 29, 2024"
2061,DHR,Forward Dividend & Yield,1.08 (0.41%)
2062,DHR,Ex-Dividend Date,"Jun 28, 2024"
2063,DHR,1y Target Est,272.09 
2064,DRI,Previous Close,148.54 
2065,DRI,Open,148.40 
2066,DRI,Bid,147.48 x 800
2067,DRI,Ask,147.42 x 800
2068,DRI,Day's Range,147.25 - 148.85 
2069,DRI,52 Week Range,133.36 - 176.84 
2070,DRI,Volume,"909,344 "
2071,DRI,Avg. Volume,"1,257,033 "
2072,DRI,Market Cap (intraday),17.627B 
2073,DRI,Beta (5Y Monthly),1.28
2074,DRI,PE Ratio (TTM),17.31 
2075,DRI,EPS (TTM),8.53 
2076,DRI,Earnings Date,"Jun 20, 2024"
2077,DRI,Forward Dividend & Yield,5.24 (3.53%)
2078,DRI,Ex-Dividend Date,"Apr 9, 2024"
2079,DRI,1y Target Est,178.41 
2080,DVA,Previous Close,141.58 
2081,DVA,Open,141.39 
2082,DVA,Bid,140.49 x 800
2083,DVA,Ask,140.65 x 900
2084,DVA,Day's Range,139.34 - 141.53 
2085,DVA,52 Week Range,71.51 - 147.93 
2086,DVA,Volume,"158,035 "
2087,DVA,Avg. Volume,"808,944 "
2088,DVA,Market Cap (intraday),12.35B 
2089,DVA,Beta (5Y Monthly),0.96
2090,DVA,PE Ratio (TTM),15.97 
2091,DVA,EPS (TTM),8.82 
2092,DVA,Earnings Date,"Aug 1, 2024 - Aug 5, 2024"
2093,DVA,Forward Dividend & Yield,--
2094,DVA,Ex-Dividend Date,--
2095,DVA,1y Target Est,145.07 
2096,DAY,Previous Close,51.53 
2097,DAY,Open,51.00 
2098,DAY,Bid,49.42 x 1000
2099,DAY,Ask,49.50 x 800
2100,DAY,Day's Range,49.32 - 51.31 
2101,DAY,52 Week Range,48.77 - 75.53 
2102,DAY,Volume,"489,768 "
2103,DAY,Avg. Volume,"1,643,196 "
2104,DAY,Market Cap (intraday),7.8B 
2105,DAY,Beta (5Y Monthly),1.25
2106,DAY,PE Ratio (TTM),149.70 
2107,DAY,EPS (TTM),0.33 
2108,DAY,Earnings Date,"Jul 31, 2024 - Aug 5, 2024"
2109,DAY,Forward Dividend & Yield,--
2110,DAY,Ex-Dividend Date,--
2111,DAY,1y Target Est,72.67 
2112,DECK,Previous Close,"1,065.43 "
2113,DECK,Open,"1,062.63 "
2114,DECK,Bid,"1,018.02 x 800"
2115,DECK,Ask,"1,090.00 x 1100"
2116,DECK,Day's Range,"1,033.44 - 1,059.22 "
2117,DECK,52 Week Range,"484.02 - 1,106.89 "
2118,DECK,Volume,"248,002 "
2119,DECK,Avg. Volume,"456,915 "
2120,DECK,Market Cap (intraday),26.57B 
2121,DECK,Beta (5Y Monthly),1.11
2122,DECK,PE Ratio (TTM),35.84 
2123,DECK,EPS (TTM),29.14 
2124,DECK,Earnings Date,"Jul 25, 2024 - Jul 29, 2024"
2125,DECK,Forward Dividend & Yield,--
2126,DECK,Ex-Dividend Date,--
2127,DECK,1y Target Est,"1,064.08 "
2128,DE,Previous Close,368.30 
2129,DE,Open,366.68 
2130,DE,Bid,365.56 x 800
2131,DE,Ask,365.74 x 1000
2132,DE,Day's Range,363.78 - 367.44 
2133,DE,52 Week Range,353.15 - 450.00 
2134,DE,Volume,"280,291 "
2135,DE,Avg. Volume,"1,420,938 "
2136,DE,Market Cap (intraday),100.999B 
2137,DE,Beta (5Y Monthly),0.99
2138,DE,PE Ratio (TTM),11.05 
2139,DE,EPS (TTM),33.18 
2140,DE,Earnings Date,"Aug 16, 2024 - Aug 20, 2024"
2141,DE,Forward Dividend & Yield,5.88 (1.60%)
2142,DE,Ex-Dividend Date,"Jun 28, 2024"
2143,DE,1y Target Est,428.05 
2144,DAL,Previous Close,50.50 
2145,DAL,Open,50.13 
2146,DAL,Bid,49.64 x 800
2147,DAL,Ask,49.66 x 800
2148,DAL,Day's Range,49.51 - 50.19 
2149,DAL,52 Week Range,30.60 - 53.86 
2150,DAL,Volume,"1,343,981 "
2151,DAL,Avg. Volume,"9,241,663 "
2152,DAL,Market Cap (intraday),31.969B 
2153,DAL,Beta (5Y Monthly),1.38
2154,DAL,PE Ratio (TTM),6.35 
2155,DAL,EPS (TTM),7.80 
2156,DAL,Earnings Date,"Jul 11, 2024 - Jul 15, 2024"
2157,DAL,Forward Dividend & Yield,0.40 (0.79%)
2158,DAL,Ex-Dividend Date,"May 13, 2024"
2159,DAL,1y Target Est,61.70 
2160,DVN,Previous Close,47.12 
2161,DVN,Open,46.84 
2162,DVN,Bid,46.86 x 900
2163,DVN,Ask,46.89 x 1000
2164,DVN,Day's Range,46.47 - 47.01 
2165,DVN,52 Week Range,40.47 - 55.09 
2166,DVN,Volume,"705,560 "
2167,DVN,Avg. Volume,"6,870,238 "
2168,DVN,Market Cap (intraday),29.543B 
2169,DVN,Beta (5Y Monthly),2.12
2170,DVN,PE Ratio (TTM),8.90 
2171,DVN,EPS (TTM),5.25 
2172,DVN,Earnings Date,"Jul 30, 2024 - Aug 5, 2024"
2173,DVN,Forward Dividend & Yield,2.05 (4.35%)
2174,DVN,Ex-Dividend Date,"Jun 14, 2024"
2175,DVN,1y Target Est,58.15 
2176,DXCM,Previous Close,115.79 
2177,DXCM,Open,115.05 
2178,DXCM,Bid,116.56 x 200
2179,DXCM,Ask,116.63 x 200
2180,DXCM,Day's Range,114.73 - 116.96 
2181,DXCM,52 Week Range,74.75 - 142.00 
2182,DXCM,Volume,"2,182,493 "
2183,DXCM,Avg. Volume,"2,693,347 "
2184,DXCM,Market Cap (intraday),46.358B 
2185,DXCM,Beta (5Y Monthly),1.22
2186,DXCM,PE Ratio (TTM),75.69 
2187,DXCM,EPS (TTM),1.54 
2188,DXCM,Earnings Date,"Jul 25, 2024 - Jul 29, 2024"
2189,DXCM,Forward Dividend & Yield,--
2190,DXCM,Ex-Dividend Date,--
2191,DXCM,1y Target Est,152.63 
2192,FANG,Previous Close,190.30 
2193,FANG,Open,190.76 
2194,FANG,Bid,194.14 x 1600
2195,FANG,Ask,194.44 x 2900
2196,FANG,Day's Range,190.62 - 194.99 
2197,FANG,52 Week Range,123.41 - 211.96 
2198,FANG,Volume,"596,918 "
2199,FANG,Avg. Volume,"1,450,644 "
2200,FANG,Market Cap (intraday),34.638B 
2201,FANG,Beta (5Y Monthly),1.89
2202,FANG,PE Ratio (TTM),10.95 
2203,FANG,EPS (TTM),17.74 
2204,FANG,Earnings Date,"Jul 29, 2024 - Aug 2, 2024"
2205,FANG,Forward Dividend & Yield,9.26 (4.87%)
2206,FANG,Ex-Dividend Date,"May 14, 2024"
2207,FANG,1y Target Est,224.88 
2208,DLR,Previous Close,149.09 
2209,DLR,Open,148.89 
2210,DLR,Bid,150.06 x 1300
2211,DLR,Ask,150.16 x 900
2212,DLR,Day's Range,148.43 - 150.51 
2213,DLR,52 Week Range,102.54 - 154.18 
2214,DLR,Volume,"243,738 "
2215,DLR,Avg. Volume,"1,923,665 "
2216,DLR,Market Cap (intraday),49.64B 
2217,DLR,Beta (5Y Monthly),0.58
2218,DLR,PE Ratio (TTM),41.42 
2219,DLR,EPS (TTM),3.62 
2220,DLR,Earnings Date,"Jul 25, 2024 - Jul 29, 2024"
2221,DLR,Forward Dividend & Yield,4.88 (3.27%)
2222,DLR,Ex-Dividend Date,"Jun 14, 2024"
2223,DLR,1y Target Est,148.69 
2224,DFS,Previous Close,125.81 
2225,DFS,Open,124.77 
2226,DFS,Bid,123.42 x 1100
2227,DFS,Ask,123.50 x 1000
2228,DFS,Day's Range,123.15 - 124.58 
2229,DFS,52 Week Range,79.04 - 131.65 
2230,DFS,Volume,"260,385 "
2231,DFS,Avg. Volume,"1,297,528 "
2232,DFS,Market Cap (intraday),30.93B 
2233,DFS,Beta (5Y Monthly),1.41
2234,DFS,PE Ratio (TTM),14.01 
2235,DFS,EPS (TTM),8.81 
2236,DFS,Earnings Date,"Jul 17, 2024 - Jul 22, 2024"
2237,DFS,Forward Dividend & Yield,2.80 (2.23%)
2238,DFS,Ex-Dividend Date,"May 22, 2024"
2239,DFS,1y Target Est,135.33 
2240,DG,Previous Close,127.69 
2241,DG,Open,127.29 
2242,DG,Bid,128.02 x 800
2243,DG,Ask,128.10 x 1000
2244,DG,Day's Range,126.50 - 128.30 
2245,DG,52 Week Range,101.09 - 173.47 
2246,DG,Volume,"294,655 "
2247,DG,Avg. Volume,"2,567,647 "
2248,DG,Market Cap (intraday),28.01B 
2249,DG,Beta (5Y Monthly),0.45
2250,DG,PE Ratio (TTM),18.57 
2251,DG,EPS (TTM),6.86 
2252,DG,Earnings Date,"Aug 29, 2024 - Sep 2, 2024"
2253,DG,Forward Dividend & Yield,2.36 (1.85%)
2254,DG,Ex-Dividend Date,"Jul 9, 2024"
2255,DG,1y Target Est,150.50 
2256,DLTR,Previous Close,110.19 
2257,DLTR,Open,110.06 
2258,DLTR,Bid,110.67 x 400
2259,DLTR,Ask,110.94 x 200
2260,DLTR,Day's Range,109.62 - 111.32 
2261,DLTR,52 Week Range,102.77 - 154.96 
2262,DLTR,Volume,"423,475 "
2263,DLTR,Avg. Volume,"3,127,885 "
2264,DLTR,Market Cap (intraday),23.811B 
2265,DLTR,Beta (5Y Monthly),0.90
2266,DLTR,PE Ratio (TTM),-- 
2267,DLTR,EPS (TTM),-4.52 
2268,DLTR,Earnings Date,"Aug 22, 2024 - Aug 26, 2024"
2269,DLTR,Forward Dividend & Yield,--
2270,DLTR,Ex-Dividend Date,--
2271,DLTR,1y Target Est,141.64 
2272,D,Previous Close,52.27 
2273,D,Open,51.70 
2274,D,Bid,51.33 x 900
2275,D,Ask,51.86 x 1300
2276,D,Day's Range,51.36 - 52.01 
2277,D,52 Week Range,39.18 - 54.74 
2278,D,Volume,"4,802,085 "
2279,D,Avg. Volume,"4,642,157 "
2280,D,Market Cap (intraday),43.118B 
2281,D,Beta (5Y Monthly),0.60
2282,D,PE Ratio (TTM),22.27 
2283,D,EPS (TTM),2.31 
2284,D,Earnings Date,"Aug 2, 2024 - Aug 6, 2024"
2285,D,Forward Dividend & Yield,2.67 (5.19%)
2286,D,Ex-Dividend Date,"May 31, 2024"
2287,D,1y Target Est,52.39 
2288,DPZ,Previous Close,513.55 
2289,DPZ,Open,513.00 
2290,DPZ,Bid,526.50 x 1100
2291,DPZ,Ask,529.00 x 1200
2292,DPZ,Day's Range,511.51 - 526.93 
2293,DPZ,52 Week Range,298.46 - 542.75 
2294,DPZ,Volume,"494,663 "
2295,DPZ,Avg. Volume,"553,996 "
2296,DPZ,Market Cap (intraday),18.366B 
2297,DPZ,Beta (5Y Monthly),0.85
2298,DPZ,PE Ratio (TTM),34.42 
2299,DPZ,EPS (TTM),15.30 
2300,DPZ,Earnings Date,"Jul 22, 2024 - Jul 26, 2024"
2301,DPZ,Forward Dividend & Yield,6.04 (1.18%)
2302,DPZ,Ex-Dividend Date,"Jun 14, 2024"
2303,DPZ,1y Target Est,549.72 
2304,DOV,Previous Close,177.22 
2305,DOV,Open,176.61 
2306,DOV,Bid,--
2307,DOV,Ask,--
2308,DOV,Day's Range,176.61 - 178.83 
2309,DOV,52 Week Range,127.25 - 188.64 
2310,DOV,Volume,"963,813 "
2311,DOV,Avg. Volume,"1,035,842 "
2312,DOV,Market Cap (intraday),24.456B 
2313,DOV,Beta (5Y Monthly),1.24
2314,DOV,PE Ratio (TTM),17.09 
2315,DOV,EPS (TTM),10.41 
2316,DOV,Earnings Date,"Jul 23, 2024 - Jul 29, 2024"
2317,DOV,Forward Dividend & Yield,2.04 (1.15%)
2318,DOV,Ex-Dividend Date,"May 31, 2024"
2319,DOV,1y Target Est,194.52 
2320,DOW,Previous Close,56.05 
2321,DOW,Open,55.91 
2322,DOW,Bid,55.70 x 1000
2323,DOW,Ask,55.72 x 800
2324,DOW,Day's Range,55.51 - 56.02 
2325,DOW,52 Week Range,47.26 - 60.69 
2326,DOW,Volume,"530,010 "
2327,DOW,Avg. Volume,"4,553,515 "
2328,DOW,Market Cap (intraday),39.211B 
2329,DOW,Beta (5Y Monthly),1.24
2330,DOW,PE Ratio (TTM),33.19 
2331,DOW,EPS (TTM),1.68 
2332,DOW,Earnings Date,"Jul 25, 2024"
2333,DOW,Forward Dividend & Yield,2.80 (5.00%)
2334,DOW,Ex-Dividend Date,"May 31, 2024"
2335,DOW,1y Target Est,61.11 
2336,DHI,Previous Close,142.22 
2337,DHI,Open,141.35 
2338,DHI,Bid,139.48 x 800
2339,DHI,Ask,139.58 x 1000
2340,DHI,Day's Range,139.29 - 140.77 
2341,DHI,52 Week Range,100.08 - 165.75 
2342,DHI,Volume,"471,254 "
2343,DHI,Avg. Volume,"2,445,233 "
2344,DHI,Market Cap (intraday),46.003B 
2345,DHI,Beta (5Y Monthly),1.69
2346,DHI,PE Ratio (TTM),9.53 
2347,DHI,EPS (TTM),14.66 
2348,DHI,Earnings Date,"Jul 18, 2024"
2349,DHI,Forward Dividend & Yield,1.20 (0.84%)
2350,DHI,Ex-Dividend Date,"May 1, 2024"
2351,DHI,1y Target Est,167.08 
2352,DTE,Previous Close,113.54 
2353,DTE,Open,112.15 
2354,DTE,Bid,--
2355,DTE,Ask,--
2356,DTE,Day's Range,112.07 - 113.15 
2357,DTE,52 Week Range,90.14 - 117.45 
2358,DTE,Volume,"669,501 "
2359,DTE,Avg. Volume,"1,086,555 "
2360,DTE,Market Cap (intraday),23.245B 
2361,DTE,Beta (5Y Monthly),0.67
2362,DTE,PE Ratio (TTM),18.38 
2363,DTE,EPS (TTM),6.11 
2364,DTE,Earnings Date,"Jul 25, 2024 - Jul 29, 2024"
2365,DTE,Forward Dividend & Yield,4.08 (3.63%)
2366,DTE,Ex-Dividend Date,"Jun 17, 2024"
2367,DTE,1y Target Est,120.13 
2368,DUK,Previous Close,102.62 
2369,DUK,Open,102.50 
2370,DUK,Bid,101.12 x 1000
2371,DUK,Ask,--
2372,DUK,Day's Range,101.92 - 102.98 
2373,DUK,52 Week Range,83.06 - 104.87 
2374,DUK,Volume,"1,722,220 "
2375,DUK,Avg. Volume,"2,830,119 "
2376,DUK,Market Cap (intraday),79.122B 
2377,DUK,Beta (5Y Monthly),0.45
2378,DUK,PE Ratio (TTM),18.34 
2379,DUK,EPS (TTM),5.59 
2380,DUK,Earnings Date,"Aug 6, 2024 - Aug 12, 2024"
2381,DUK,Forward Dividend & Yield,4.10 (4.00%)
2382,DUK,Ex-Dividend Date,"May 16, 2024"
2383,DUK,1y Target Est,107.18 
2384,DD,Previous Close,80.01 
2385,DD,Open,79.75 
2386,DD,Bid,79.40 x 1200
2387,DD,Ask,80.00 x 800
2388,DD,Day's Range,79.37 - 80.07 
2389,DD,52 Week Range,61.14 - 82.63 
2390,DD,Volume,"1,680,736 "
