,symbol,metric,value
148,A,Day's Range,132.25 - 133.85 
149,A,52 Week Range,96.80 - 155.35 
150,A,Volume,"1,456,200 "
151,A,Avg. Volume,"1,660,766 "
152,A,Market Cap (intraday),38.813B 
153,A,Beta (5Y Monthly),1.07
154,A,PE Ratio (TTM),31.52 
155,A,EPS (TTM),4.22 
156,A,Earnings Date,"Aug 13, 2024 - Aug 19, 2024"
157,A,Forward Dividend & Yield,0.94 (0.71%)
158,A,Ex-Dividend Date,"Jul 2, 2024"
159,A,1y Target Est,138.25 
160,APD,Previous Close,269.72 
161,APD,Open,270.32 
162,APD,Bid,277.33 x 800
163,APD,Ask,282.00 x 1000
164,APD,Day's Range,268.44 - 281.20 
165,APD,52 Week Range,212.24 - 307.71 
166,APD,Volume,"2,181,844 "
167,APD,Avg. Volume,"1,524,036 "
168,APD,Market Cap (intraday),62.141B 
169,APD,Beta (5Y Monthly),0.85
170,APD,PE Ratio (TTM),25.25 
171,APD,EPS (TTM),11.07 
172,APD,Earnings Date,"Aug 1, 2024 - Aug 5, 2024"
173,APD,Forward Dividend & Yield,7.08 (2.53%)
174,APD,Ex-Dividend Date,"Jul 1, 2024"
175,APD,1y Target Est,271.23 
176,ABNB,Previous Close,146.66 
177,ABNB,Open,146.00 
178,ABNB,Bid,147.98 x 200
179,ABNB,Ask,148.11 x 300
180,ABNB,Day's Range,146.00 - 148.32 
181,ABNB,52 Week Range,113.24 - 170.10 
182,ABNB,Volume,"3,018,251 "
183,ABNB,Avg. Volume,"3,972,506 "
184,ABNB,Market Cap (intraday),94.001B 
185,ABNB,Beta (5Y Monthly),1.19
186,ABNB,PE Ratio (TTM),19.80 
187,ABNB,EPS (TTM),7.48 
188,ABNB,Earnings Date,"Aug 1, 2024 - Aug 5, 2024"
189,ABNB,Forward Dividend & Yield,--
190,ABNB,Ex-Dividend Date,--
191,ABNB,1y Target Est,152.42 
192,AKAM,Previous Close,90.22 
193,AKAM,Open,90.14 
194,AKAM,Bid,92.17 x 1400
195,AKAM,Ask,92.29 x 500
196,AKAM,Day's Range,89.60 - 92.41 
197,AKAM,52 Week Range,86.94 - 129.17 
198,AKAM,Volume,"3,298,496 "
199,AKAM,Avg. Volume,"1,709,268 "
200,AKAM,Market Cap (intraday),14.05B 
201,AKAM,Beta (5Y Monthly),0.72
202,AKAM,PE Ratio (TTM),23.00 
203,AKAM,EPS (TTM),4.01 
204,AKAM,Earnings Date,"Aug 6, 2024 - Aug 12, 2024"
